site,product,date,year,month,n_images,mean_cloud_pct
Burdur Lake,RTC_S1,2024-02,2024,2,83,
Burdur Lake,RTC_S1,2024-03,2024,3,40,
Burdur Lake,RTC_S1,2024-04,2024,4,38,
Burdur Lake,RTC_S1,2024-05,2024,5,32,
Burdur Lake,RTC_S1,2024-06,2024,6,38,
Burdur Lake,RTC_S1,2024-07,2024,7,32,
Burdur Lake,RTC_S1,2024-08,2024,8,38,
Burdur Lake,RTC_S1,2024-09,2024,9,38,
Burdur Lake,RTC_S1,2024-10,2024,10,53,
Burdur Lake,RTC_S1,2024-11,2024,11,34,
Burdur Lake,RTC_S1,2024-12,2024,12,50,
Burdur Lake,RTC_S1,2025-01,2025,1,44,
Burdur Lake,RTC_S1,2025-02,2025,2,35,
Burdur Lake,RTC_S1,2025-03,2025,3,38,
Burdur Lake,RTC_S1,2025-04,2025,4,32,
Burdur Lake,RTC_S1,2025-05,2025,5,53,
Burdur Lake,RTC_S1,2025-06,2025,6,64,
Burdur Lake,RTC_S1,2025-07,2025,7,70,
Burdur Lake,RTC_S1,2025-08,2025,8,72,
Burdur Lake,RTC_S1,2025-09,2025,9,74,
Burdur Lake,RTC_S1,2025-10,2025,10,70,
Burdur Lake,RTC_S1,2025-11,2025,11,79,
Burdur Lake,RTC_S1,2025-12,2025,12,96,
Burdur Lake,RTC_S1,2026-01,2026,1,77,
Burdur Lake,RTC_S1,2026-02,2026,2,56,
Burdur Lake,RTC_S1,2026-03,2026,3,84,
Burdur Lake,RTC_S1,2026-04,2026,4,74,
Burdur Lake,RTC_S1,2026-05,2026,5,60,
Burdur Lake,S2_SR,2023-04,2023,4,48,
Burdur Lake,S2_SR,2023-05,2023,5,52,
Burdur Lake,S2_SR,2023-06,2023,6,48,
Burdur Lake,S2_SR,2023-07,2023,7,50,
Burdur Lake,S2_SR,2023-08,2023,8,56,
Burdur Lake,S2_SR,2023-09,2023,9,52,
Burdur Lake,S2_SR,2023-10,2023,10,48,
Burdur Lake,S2_SR,2023-11,2023,11,48,
Burdur Lake,S2_SR,2023-12,2023,12,48,
Burdur Lake,S2_SR,2024-01,2024,1,52,
Burdur Lake,S2_SR,2024-02,2024,2,44,
Burdur Lake,S2_SR,2024-03,2024,3,52,
Burdur Lake,S2_SR,2024-04,2024,4,45,
Burdur Lake,S2_SR,2024-05,2024,5,50,
Burdur Lake,S2_SR,2024-06,2024,6,48,
Burdur Lake,S2_SR,2024-07,2024,7,54,
Burdur Lake,S2_SR,2024-08,2024,8,50,
Burdur Lake,S2_SR,2024-09,2024,9,48,
Burdur Lake,S2_SR,2024-10,2024,10,48,
Burdur Lake,S2_SR,2024-11,2024,11,48,
Burdur Lake,S2_SR,2024-12,2024,12,60,
Burdur Lake,S2_SR,2025-01,2025,1,44,
Burdur Lake,S2_SR,2025-02,2025,2,43,
Burdur Lake,S2_SR,2025-03,2025,3,68,
Burdur Lake,S2_SR,2025-04,2025,4,72,
Burdur Lake,S2_SR,2025-05,2025,5,68,
Burdur Lake,S2_SR,2025-06,2025,6,72,
Burdur Lake,S2_SR,2025-07,2025,7,72,
Burdur Lake,S2_SR,2025-08,2025,8,67,
Burdur Lake,S2_SR,2025-09,2025,9,72,
Burdur Lake,S2_SR,2025-10,2025,10,76,
Burdur Lake,S2_SR,2025-11,2025,11,71,
Burdur Lake,S2_SR,2025-12,2025,12,70,
Burdur Lake,S2_SR,2026-01,2026,1,52,
Burdur Lake,S2_SR,2026-02,2026,2,58,
Burdur Lake,S2_SR,2026-03,2026,3,72,
Burdur Lake,S2_SR,2026-04,2026,4,72,
Burdur Lake,S2_SR,2026-05,2026,5,68,
Burdur Lake,S1_GRD,2023-04,2023,4,12,
Burdur Lake,S1_GRD,2023-05,2023,5,13,
Burdur Lake,S1_GRD,2023-06,2023,6,12,
Burdur Lake,S1_GRD,2023-07,2023,7,13,
Burdur Lake,S1_GRD,2023-08,2023,8,12,
Burdur Lake,S1_GRD,2023-09,2023,9,13,
Burdur Lake,S1_GRD,2023-10,2023,10,13,
Burdur Lake,S1_GRD,2023-11,2023,11,14,
Burdur Lake,S1_GRD,2023-12,2023,12,13,
Burdur Lake,S1_GRD,2024-01,2024,1,12,
Burdur Lake,S1_GRD,2024-02,2024,2,14,
Burdur Lake,S1_GRD,2024-03,2024,3,12,
Burdur Lake,S1_GRD,2024-04,2024,4,13,
Burdur Lake,S1_GRD,2024-05,2024,5,12,
Burdur Lake,S1_GRD,2024-06,2024,6,13,
Burdur Lake,S1_GRD,2024-07,2024,7,12,
Burdur Lake,S1_GRD,2024-08,2024,8,13,
Burdur Lake,S1_GRD,2024-09,2024,9,13,
Burdur Lake,S1_GRD,2024-10,2024,10,15,
Burdur Lake,S1_GRD,2024-11,2024,11,11,
Burdur Lake,S1_GRD,2024-12,2024,12,14,
Burdur Lake,S1_GRD,2025-01,2025,1,13,
Burdur Lake,S1_GRD,2025-02,2025,2,12,
Burdur Lake,S1_GRD,2025-03,2025,3,17,
Burdur Lake,S1_GRD,2025-04,2025,4,20,
Burdur Lake,S1_GRD,2025-05,2025,5,23,
Burdur Lake,S1_GRD,2025-06,2025,6,21,
Burdur Lake,S1_GRD,2025-07,2025,7,23,
Burdur Lake,S1_GRD,2025-08,2025,8,22,
Burdur Lake,S1_GRD,2025-09,2025,9,22,
Burdur Lake,S1_GRD,2025-10,2025,10,22,
Burdur Lake,S1_GRD,2025-11,2025,11,20,
Burdur Lake,S1_GRD,2025-12,2025,12,26,
Burdur Lake,S1_GRD,2026-01,2026,1,24,
Burdur Lake,S1_GRD,2026-02,2026,2,18,
Burdur Lake,S1_GRD,2026-03,2026,3,26,
Burdur Lake,S1_GRD,2026-04,2026,4,26,
Burdur Lake,S1_GRD,2026-05,2026,5,34,
Tuz Lake,DSWX_HLS,2023-04,2023,4,60,65.71666666666667
Tuz Lake,DSWX_HLS,2023-05,2023,5,56,65.94642857142857
Tuz Lake,DSWX_HLS,2023-06,2023,6,54,53.55555555555556
Tuz Lake,DSWX_HLS,2023-07,2023,7,61,15.278688524590164
Tuz Lake,DSWX_HLS,2023-08,2023,8,61,17.098360655737704
Tuz Lake,DSWX_HLS,2023-09,2023,9,59,25.864406779661017
Tuz Lake,DSWX_HLS,2023-10,2023,10,58,51.91379310344828
Tuz Lake,DSWX_HLS,2023-11,2023,11,49,65.24489795918367
Tuz Lake,DSWX_HLS,2023-12,2023,12,56,51.785714285714285
Tuz Lake,DSWX_HLS,2024-01,2024,1,45,62.2
Tuz Lake,DSWX_HLS,2024-02,2024,2,54,54.96296296296296
Tuz Lake,DSWX_HLS,2024-03,2024,3,49,45.55102040816327
Tuz Lake,DSWX_HLS,2024-04,2024,4,56,52.982142857142854
Tuz Lake,DSWX_HLS,2024-05,2024,5,58,54.96551724137931
Tuz Lake,DSWX_HLS,2024-06,2024,6,60,18.066666666666666
Tuz Lake,DSWX_HLS,2024-07,2024,7,68,30.264705882352942
Tuz Lake,DSWX_HLS,2024-08,2024,8,65,23.630769230769232
Tuz Lake,DSWX_HLS,2024-09,2024,9,58,36.206896551724135
Tuz Lake,DSWX_HLS,2024-10,2024,10,65,26.784615384615385
Tuz Lake,DSWX_HLS,2024-11,2024,11,44,53.97727272727273
Tuz Lake,DSWX_HLS,2024-12,2024,12,48,67.47916666666667
Tuz Lake,DSWX_HLS,2025-01,2025,1,55,56.945454545454545
Tuz Lake,DSWX_HLS,2025-02,2025,2,53,64.9622641509434
Tuz Lake,DSWX_HLS,2025-03,2025,3,65,45.86153846153846
Tuz Lake,DSWX_HLS,2025-04,2025,4,83,55.6144578313253
Tuz Lake,DSWX_HLS,2025-05,2025,5,86,41.348837209302324
Tuz Lake,DSWX_HLS,2025-06,2025,6,85,20.105882352941176
Tuz Lake,DSWX_HLS,2025-07,2025,7,88,14.090909090909092
Tuz Lake,DSWX_HLS,2025-08,2025,8,81,13.45679012345679
Tuz Lake,DSWX_HLS,2025-09,2025,9,93,21.956989247311828
Tuz Lake,DSWX_HLS,2025-10,2025,10,103,37.786407766990294
Tuz Lake,DSWX_HLS,2025-11,2025,11,170,52.747058823529414
Tuz Lake,DSWX_HLS,2025-12,2025,12,172,71.56976744186046
Tuz Lake,DSWX_HLS,2026-01,2026,1,73,72.43835616438356
Tuz Lake,DSWX_HLS,2026-02,2026,2,90,61.1
Tuz Lake,DSWX_HLS,2026-03,2026,3,88,66.26136363636364
Tuz Lake,DSWX_HLS,2026-04,2026,4,79,59.88607594936709
Tuz Lake,DSWX_HLS,2026-05,2026,5,72,57.80555555555556
Tuz Lake,DSWX_S1,2023-04,2023,4,0,
Tuz Lake,DSWX_S1,2023-05,2023,5,0,
Tuz Lake,DSWX_S1,2023-06,2023,6,0,
Tuz Lake,DSWX_S1,2023-07,2023,7,0,
Tuz Lake,DSWX_S1,2023-08,2023,8,0,
Tuz Lake,DSWX_S1,2023-09,2023,9,0,
Tuz Lake,DSWX_S1,2023-10,2023,10,0,
Tuz Lake,DSWX_S1,2023-11,2023,11,0,
Tuz Lake,DSWX_S1,2023-12,2023,12,0,
Tuz Lake,DSWX_S1,2024-01,2024,1,0,
Tuz Lake,DSWX_S1,2024-02,2024,2,0,
Tuz Lake,DSWX_S1,2024-03,2024,3,0,
Tuz Lake,DSWX_S1,2024-04,2024,4,0,
Tuz Lake,DSWX_S1,2024-05,2024,5,0,
Tuz Lake,DSWX_S1,2024-06,2024,6,0,
Tuz Lake,DSWX_S1,2024-07,2024,7,0,
Tuz Lake,DSWX_S1,2024-08,2024,8,18,
Tuz Lake,DSWX_S1,2024-09,2024,9,53,
Tuz Lake,DSWX_S1,2024-10,2024,10,58,
Tuz Lake,DSWX_S1,2024-11,2024,11,58,
Tuz Lake,DSWX_S1,2024-12,2024,12,79,
Tuz Lake,DSWX_S1,2025-01,2025,1,50,
Tuz Lake,DSWX_S1,2025-02,2025,2,38,
Tuz Lake,DSWX_S1,2025-03,2025,3,57,
Tuz Lake,DSWX_S1,2025-04,2025,4,67,
Tuz Lake,DSWX_S1,2025-05,2025,5,98,
Tuz Lake,DSWX_S1,2025-06,2025,6,109,
Tuz Lake,DSWX_S1,2025-07,2025,7,113,
Tuz Lake,DSWX_S1,2025-08,2025,8,101,
Tuz Lake,DSWX_S1,2025-09,2025,9,110,
Tuz Lake,DSWX_S1,2025-10,2025,10,269,
Tuz Lake,DSWX_S1,2025-11,2025,11,268,
Tuz Lake,DSWX_S1,2025-12,2025,12,217,
Tuz Lake,DSWX_S1,2026-01,2026,1,312,
Tuz Lake,DSWX_S1,2026-02,2026,2,83,
Tuz Lake,DSWX_S1,2026-03,2026,3,129,
Tuz Lake,DSWX_S1,2026-04,2026,4,115,
Tuz Lake,DSWX_S1,2026-05,2026,5,173,
Tuz Lake,RTC_S1,2023-04,2023,4,80,
Tuz Lake,RTC_S1,2023-05,2023,5,76,
Tuz Lake,RTC_S1,2023-06,2023,6,81,
Tuz Lake,RTC_S1,2023-07,2023,7,77,
Tuz Lake,RTC_S1,2023-08,2023,8,80,
Tuz Lake,RTC_S1,2023-09,2023,9,76,
Tuz Lake,RTC_S1,2023-10,2023,10,100,
Tuz Lake,RTC_S1,2023-11,2023,11,80,
Tuz Lake,RTC_S1,2023-12,2023,12,116,
Tuz Lake,RTC_S1,2024-01,2024,1,161,
Tuz Lake,RTC_S1,2024-02,2024,2,148,
Tuz Lake,RTC_S1,2024-03,2024,3,108,
Tuz Lake,RTC_S1,2024-04,2024,4,78,
Tuz Lake,RTC_S1,2024-05,2024,5,78,
Tuz Lake,RTC_S1,2024-06,2024,6,76,
Tuz Lake,RTC_S1,2024-07,2024,7,85,
Tuz Lake,RTC_S1,2024-08,2024,8,75,
Tuz Lake,RTC_S1,2024-09,2024,9,104,
Tuz Lake,RTC_S1,2024-10,2024,10,102,
Tuz Lake,RTC_S1,2024-11,2024,11,87,
Tuz Lake,RTC_S1,2024-12,2024,12,97,
Tuz Lake,RTC_S1,2025-01,2025,1,89,
Tuz Lake,RTC_S1,2025-02,2025,2,63,
Tuz Lake,RTC_S1,2025-03,2025,3,107,
Tuz Lake,RTC_S1,2025-04,2025,4,93,
Tuz Lake,RTC_S1,2025-05,2025,5,134,
Tuz Lake,RTC_S1,2025-06,2025,6,153,
Tuz Lake,RTC_S1,2025-07,2025,7,154,
Tuz Lake,RTC_S1,2025-08,2025,8,154,
Tuz Lake,RTC_S1,2025-09,2025,9,162,
Tuz Lake,RTC_S1,2025-10,2025,10,210,
Tuz Lake,RTC_S1,2025-11,2025,11,188,
Tuz Lake,RTC_S1,2025-12,2025,12,220,
Tuz Lake,RTC_S1,2026-01,2026,1,215,
Tuz Lake,RTC_S1,2026-02,2026,2,150,
Tuz Lake,RTC_S1,2026-03,2026,3,179,
Tuz Lake,RTC_S1,2026-04,2026,4,152,
Tuz Lake,RTC_S1,2026-05,2026,5,202,
Tuz Lake,S2_SR,2023-04,2023,4,52,
Tuz Lake,S2_SR,2023-05,2023,5,48,
Tuz Lake,S2_SR,2023-06,2023,6,48,
Tuz Lake,S2_SR,2023-07,2023,7,50,
Tuz Lake,S2_SR,2023-08,2023,8,54,
Tuz Lake,S2_SR,2023-09,2023,9,51,
Tuz Lake,S2_SR,2023-10,2023,10,51,
Tuz Lake,S2_SR,2023-11,2023,11,48,
Tuz Lake,S2_SR,2023-12,2023,12,52,
Tuz Lake,S2_SR,2024-01,2024,1,48,
Tuz Lake,S2_SR,2024-02,2024,2,51,
Tuz Lake,S2_SR,2024-03,2024,3,49,
Tuz Lake,S2_SR,2024-04,2024,4,45,
Tuz Lake,S2_SR,2024-05,2024,5,51,
